Date : 2026-08-14 16:16:58
Directory : c:\Users\yungr\Documents\Misc Projects\NoWork
Total : 82 files,  8954 codes, 159 comments, 1071 blanks, all 10184 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\Logo.svelte                                  | Svelte             |         36 |          0 |          2 |         38 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\WindowButtons.svelte                         | Svelte             |         29 |          0 |          5 |         34 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\context.ts                                   | TypeScript         |          3 |          2 |          3 |          8 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\datePrints.ts                                | TypeScript         |         73 |          3 |         16 |         92 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\notifications.ts                             | TypeScript         |         37 |          4 |          6 |         47 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\portal.ts                                    | TypeScript         |         11 |          1 |          2 |         14 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\position.ts                                  | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\priority.ts                                  | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\timeofday.ts                                 | TypeScript         |         27 |          0 |          9 |         36 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\misc\weather.ts                                   | TypeScript         |        109 |          5 |         21 |        135 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\shaders\shader.ts                                 | TypeScript         |        245 |         26 |         53 |        324 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\stores.svelte.ts                                  | TypeScript         |        206 |          0 |         25 |        231 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\theme.ts                                          | TypeScript         |         34 |          0 |          5 |         39 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\Study.ts                                    | TypeScript         |          5 |          0 |          0 |          5 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\task.ts                                     | TypeScript         |         41 |          0 |          8 |         49 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\taskStore.svelte.ts                         | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\types\timerStore.svelte.ts                        | TypeScript         |        111 |         10 |         18 |        139 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\CalendarWidget.svelte                     | Svelte             |        222 |          1 |         40 |        263 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\DynamicBar.svelte                         | Svelte             |         42 |          0 |          7 |         49 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\TaskWidget.svelte                         | Svelte             |         52 |          0 |         10 |         62 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\TestWidget.svelte                         | Svelte             |         58 |          0 |          8 |         66 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\lib\widgets\WeatherWidget.svelte                      | Svelte             |        184 |          1 |         18 |        203 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+layout.svelte                                 | Svelte             |        125 |          0 |         20 |        145 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+layout.ts                                     | TypeScript         |          1 |          4 |          1 |          6 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\+page.svelte                                   | Svelte             |        252 |          5 |         34 |        291 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\info\+page.svelte                              | Svelte             |         40 |          0 |          3 |         43 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\settings\+page.svelte                          | Svelte             |        301 |          6 |         54 |        361 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\study\+page.svelte                             | Svelte             |        140 |          2 |         14 |        156 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\src\routes\tasklist\+page.svelte                          | Svelte             |        342 |          3 |         52 |        397 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\static\rs_logo.svg                                        | XML                |         20 |          0 |          1 |         21 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\svelte.config.js                                          | JavaScript         |         11 |          5 |          3 |         19 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\tsconfig.json                                             | JSON with Comments |         23 |          5 |          1 |         29 |
| c:\Users\yungr\Documents\Misc Projects\NoWork\vite.config.js                                            | JavaScript         |         22 |          6 |          5 |         33 |
| Total                                                                                                   |                    |      8,954 |        159 |      1,071 |     10,184 |
+---------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
